               Cros line         Edge length(bp)
                   1                  46
                   2                  59
                   3                  61
                   4                  47
                   5                  52
                   6                  50
                   7                  48
                   8                  55
                   9                  61
                  10                  50
                  11                  62
                  12                  58
                  13                  60
                  14                  56
                  15                  63
                  16                  53
                  17                  50
                  18                  61
                  19                  56
                  20                  48
                  21                  50
                  22                  62
                  23                  53
                  24                  52
                  25                  44
                  26                  59
                  27                  76
                  28                  53
                  29                  43
                  30                  57
                  31                  64
                  32                  59
                  33                  57
                  34                  63
                  35                  64
                  36                  66
                  37                  45
                  38                  50
                  39                  43
                  40                  52
                  41                  60
                  42                  48
                  43                  76
                  44                  53
                  45                  43
                  46                  57
                  47                  66
                  48                  50
                  49                  64
                  50                  59
                  51                  47
                  52                  50
                  53                  62
                  54                  57
                  55                  64
                  56                  55
                  57                  53
                  58                  58
                  59                  58
                  60                  60
                  61                  50
                  62                  62
                  63                  45
                  64                  58
                  65                  62
                  66                  48
                  67                  53
                  68                  73
                  69                  48
                  70                  56
                  71                  61
                  72                  72
                  73                  60
                  74                  81
                  75                  59
                  76                  55
                  77                  62
                  78                  78
                  79                  72
                  80                  61
                  81                  55
                  82                  48
                  83                  73
                  84                  63
                  85                  78
                  86                  76
                  87                  43
                  88                  59
                  89                  72
                  90                  74
                  91                  44
                  92                  57
                  93                  65
                  94                  61
                  95                  78
                  96                  62
                  97                  62
                  98                  64
                  99                  46
                 100                  74
                 101                  44
                 102                  76
                 103                  62
                 104                  47
                 105                  72
                 106                  74
                 107                  44
                 108                  57
                 109                  64
                 110                  74
                 111                  65
                 112                  61
                 113                  47
                 114                  50
                 115                  63
                 116                  78
                 117                  62
                 118                  56
                 119                  52
                 120                  59
                 121                  81
                 122                  59
                 123                  50
                 124                  61

            Edge length(bp)      # of edges
                  43                   4
                  44                   4
                  45                   2
                  46                   2
                  47                   4
                  48                   6
                  50                  10
                  52                   4
                  53                   6
                  55                   4
                  56                   4
                  57                   6
                  58                   4
                  59                   8
                  60                   4
                  61                   8
                  62                  10
                  63                   4
                  64                   6
                  65                   2
                  66                   2
                  72                   4
                  73                   2
                  74                   4
                  76                   4
                  78                   4
                  81                   2
